                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.57297,                0.39992,                0.93728,                0.90125,                0.89855,                0.95013,                0.68466,                0.98159,                0.64701,                 1.3509,              0.0017703,              0.0017703,              0.0017703
                    119,                0.60433,                 0.4035,                0.98259,                0.88033,                0.97101,                0.96308,                0.68931,                 1.0503,                0.61875,                 1.4464,              0.0017683,              0.0017683,              0.0017683
                    120,                0.59989,                0.41461,                0.95512,                0.81881,                0.98551,                0.94205,                0.67769,                 0.9828,                0.66282,                 1.3701,              0.0017664,              0.0017664,              0.0017664
                    121,                0.56435,                 0.4058,                0.95667,                0.90008,                0.92754,                0.93445,                0.66059,                0.99585,                0.57106,                 1.3362,              0.0017644,              0.0017644,              0.0017644
                    122,                0.57478,                0.41078,                0.95469,                 0.8929,                0.96664,                0.95054,                0.67875,                0.92786,                0.50997,                 1.2798,              0.0017624,              0.0017624,              0.0017624
                    123,                0.59754,                 0.4246,                0.96522,                0.94694,                0.89855,                0.97122,                0.71013,                0.92651,                0.50019,                 1.2703,              0.0017604,              0.0017604,              0.0017604
                    124,                0.54607,                0.40415,                0.95089,                0.89328,                0.97101,                 0.9749,                0.72777,                 0.9224,                0.52038,                 1.2773,              0.0017584,              0.0017584,              0.0017584
                    125,                0.53705,                0.39039,                0.93881,                 0.8831,                0.92754,                0.95976,                0.68762,                0.96862,                0.57679,                 1.2903,              0.0017565,              0.0017565,              0.0017565
                    126,                0.55869,                0.39722,                0.95188,                0.88999,                0.93802,                0.96126,                0.65367,                 1.0939,                0.64181,                 1.4448,              0.0017545,              0.0017545,              0.0017545
                    127,                0.54919,                 0.4143,                0.94778,                0.91775,                 0.9703,                 0.9722,                0.68863,                 1.0478,                0.52832,                 1.4289,              0.0017525,              0.0017525,              0.0017525
                    128,                0.57064,                0.40199,                0.95426,                0.93844,                0.92754,                0.96814,                0.68151,                 1.0296,                0.52407,                 1.4215,              0.0017505,              0.0017505,              0.0017505
                    129,                0.57094,                 0.4179,                0.96222,                0.93915,                0.89469,                0.95287,                0.68316,                0.92969,                0.57424,                 1.3238,              0.0017485,              0.0017485,              0.0017485
                    130,                0.55296,                0.40055,                0.95559,                 0.8424,                0.94203,                0.93771,                0.67603,                0.97158,                 0.6331,                 1.3811,              0.0017466,              0.0017466,              0.0017466
                    131,                0.55136,                0.40651,                0.96807,                 0.8556,                0.95652,                0.93444,                0.66279,                0.97623,                0.64259,                 1.4016,              0.0017446,              0.0017446,              0.0017446
                    132,                0.53123,                0.40214,                0.94589,                0.86972,                0.96755,                0.95124,                0.68868,                0.98445,                0.62143,                 1.3624,              0.0017426,              0.0017426,              0.0017426
                    133,                0.58159,                0.40256,                0.96162,                 0.9132,                0.94203,                0.95885,                0.66632,                0.96928,                0.56985,                 1.3404,              0.0017406,              0.0017406,              0.0017406
